Date,Number of confirmed cases,Number of ruled out cases,Number of cases still hospitalised for investigation,Number of death cases,Number of discharge cases,Number of hospitalised cases in critical condition,Number of death cases related to COVID-19
20-Oct-22,,,,10306,89104,8,
21-Oct-22,,,,10315,89323,9,
22-Oct-22,,,,10322,89549,10,
23-Oct-22,,,,10326,89766,10,
24-Oct-22,,,,10333,89914,11,
25-Oct-22,,,,10343,90145,9,
26-Oct-22,,,,10350,90420,10,
27-Oct-22,,,,10358,90642,7,
28-Oct-22,,,,10365,90878,8,
29-Oct-22,,,,10373,91110,10,
30-Oct-22,,,,10385,91317,9,
31-Oct-22,,,,10397,91466,9,
01-Nov-22,,,,10410,91683,12,
02-Nov-22,,,,10418,91935,13,
03-Nov-22,,,,10428,92073,14,
04-Nov-22,,,,10439,92378,12,
05-Nov-22,,,,10457,92616,9,
06-Nov-22,,,,10470,92863,10,
07-Nov-22,,,,10475,92978,11,
08-Nov-22,,,,10479,93192,9,
09-Nov-22,,,,10492,93420,8,
10-Nov-22,,,,10501,93678,10,
11-Nov-22,,,,10511,93913,9,
12-Nov-22,,,,10517,94206,8,
13-Nov-22,,,,10526,94427,9,
14-Nov-22,,,,10536,94579,11,
15-Nov-22,,,,10549,94803,9,
16-Nov-22,,,,10557,95095,10,
17-Nov-22,,,,10569,95361,9,
18-Nov-22,,,,10577,95637,9,
19-Nov-22,,,,10586,95923,12,
20-Nov-22,,,,10599,96218,12,
21-Nov-22,,,,10610,96407,13,
22-Nov-22,,,,10623,96701,11,
23-Nov-22,,,,10634,97012,10,
24-Nov-22,,,,10647,97338,10,
25-Nov-22,,,,10663,97639,13,
26-Nov-22,,,,10672,97988,15,
27-Nov-22,,,,10692,98227,16,
28-Nov-22,,,,10718,98471,16,
29-Nov-22,,,,10731,98738,14,
30-Nov-22,,,,10747,99099,15,
01-Dec-22,,,,10762,99432,18,
02-Dec-22,,,,10773,99728,13,
03-Dec-22,,,,10790,99991,15,
04-Dec-22,,,,10806,100251,20,
05-Dec-22,,,,10826,,21,
06-Dec-22,,,,10842,,21,
07-Dec-22,,,,10864,,21,
08-Dec-22,,,,10891,,20,
09-Dec-22,,,,10914,,21,
10-Dec-22,,,,10935,,26,
11-Dec-22,,,,10959,,29,
12-Dec-22,,,,10984,,27,
13-Dec-22,,,,11021,,28,
14-Dec-22,,,,11056,,33,
15-Dec-22,,,,11075,,31,
16-Dec-22,,,,11107,,35,
17-Dec-22,,,,11131,,33,
18-Dec-22,,,,11171,,38,
19-Dec-22,,,,11210,,41,
20-Dec-22,,,,11243,,37,
21-Dec-22,,,,11293,,35,
22-Dec-22,,,,11327,,39,
23-Dec-22,,,,11373,,45,
24-Dec-22,,,,11412,,45,
25-Dec-22,,,,11462,,46,
26-Dec-22,,,,11509,,46,
27-Dec-22,,,,11562,,47,
28-Dec-22,,,,11621,,49,
29-Dec-22,,,,11683,,50,
30-Dec-22,,,,11755,,55,
31-Dec-22,,,,11807,,53,
